cohort,year,level,side,school,n_girls,pre_math,pre_fr,post_math,post_fr,cfepd,n_pre,n_post,n_eoy_valid,n_dropout,n_passed,n_repeated,n_cfm,taux_abandon,taux_reussite,n_eligible,n_enrolled_sec,n_not_trans,n_college_missing,taux_inscription
C4,2022,CM2,Int,Soura Aboubacar 4,49.0,11.705128205128204,12.935897435897436,16.87878787878788,14.393939393939394,6.6917730496453895,39.0,33.0,47.0,2.0,44.0,0.0,0.0,4.25531914893617,93.61702127659575,44.0,44.0,0.0,0.0,100.0
C4,2022,CM2,Int,Soura Magaji Rogo,18.0,10.083333333333334,11.555555555555555,13.583333333333334,14.541666666666666,6.746666666666666,18.0,18.0,18.0,0.0,14.0,4.0,0.0,0.0,77.77777777777777,14.0,13.0,1.0,0.0,92.85714285714286
C4,2022,CM2,Int,Soura Sarkin Galma 1,42.0,8.685897435897436,9.217948717948717,13.825,12.51875,6.057154471544716,39.0,40.0,41.0,0.0,37.0,4.0,0.0,0.0,90.2439024390244,37.0,37.0,0.0,0.0,100.0
C4,2022,CM2,Int,Soura Sarkin Galma 2,41.0,10.0,7.512820512820513,11.31578947368421,8.605263157894736,6.434715447154471,39.0,38.0,41.0,0.0,35.0,4.0,0.0,0.0,85.36585365853658,35.0,33.0,0.0,1.0,100.0
C4,2022,CM2,Int,Takalmaoua 1,25.0,9.023809523809524,7.142857142857143,8.5,10.275,4.001333333333333,21.0,20.0,25.0,0.0,9.0,12.0,0.0,0.0,36.0,9.0,9.0,0.0,0.0,100.0
C4,2022,CM2,Int,Takalmaoua 2,19.0,9.933333333333334,4.066666666666666,10.55,11.533333333333333,4.41561403508772,15.0,15.0,19.0,0.0,7.0,12.0,0.0,0.0,36.8421052631579,7.0,7.0,0.0,0.0,100.0
C4,2022,CM2,Int,Tarna,65.0,9.5,8.540178571428571,12.842105263157896,12.109649122807017,5.801589743589744,56.0,57.0,65.0,0.0,53.0,9.0,3.0,0.0,81.53846153846153,53.0,52.0,0.0,1.0,100.0
C4,2022,CM2,Int,Tchikadji Centre,38.0,6.069444444444445,4.5,10.671052631578947,10.848684210526315,5.620877192982456,36.0,38.0,35.0,0.0,26.0,7.0,1.0,0.0,74.28571428571429,26.0,26.0,0.0,0.0,100.0
C4,2022,CM2,Int,Tchikadji Quartier,14.0,5.535714285714286,4.535714285714286,6.461538461538462,8.23076923076923,5.219047619047619,14.0,13.0,14.0,0.0,8.0,6.0,0.0,0.0,57.142857142857146,8.0,8.0,0.0,0.0,100.0
C4,2022,CM2,Int,Tibiri Nord 3,16.0,10.461538461538462,12.0,16.5,13.34375,7.097708333333333,13.0,16.0,16.0,0.0,14.0,2.0,0.0,0.0,87.5,14.0,13.0,0.0,0.0,100.0
C4,2022,CM2,Int,Waraou,51.0,11.89,13.26,16.38,15.75,5.966993464052287,25.0,50.0,51.0,0.0,40.0,9.0,0.0,0.0,78.43137254901961,40.0,39.0,0.0,1.0,100.0
