cohort,year,level,side,school,n_girls,n_eoy_valid,n_dropout,n_passed,taux_abandon,taux_reussite,taux_inscription,pre_math,pre_fr,post_math,post_fr,pre_comp,cfepd,n_pre,n_post,flag,pair_id
C4,2022,CM1,Ctrl,Kagara,26.0,26.0,0.0,26.0,0.0,100.0,,8.73076923076923,6.461538461538462,14.307692307692308,13.913461538461538,,,26.0,26.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-30
C4,2022,CM1,Ctrl,Kankaran Safo,26.0,26.0,0.0,26.0,0.0,100.0,,11.59,11.14,13.423076923076923,12.365384615384617,,,25.0,26.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-27
C4,2022,CM1,Ctrl,Kara Kara 2,49.0,0.0,0.0,0.0,,,,10.266666666666667,8.233333333333333,,,,,45.0,0.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-22
C4,2022,CM1,Ctrl,Kara Kara 3,37.0,37.0,0.0,33.0,0.0,89.1891891891892,,10.68918918918919,11.783783783783784,13.01388888888889,12.46527777777778,,,37.0,36.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-12
C4,2022,CM1,Ctrl,Kontagora Goussaoua,24.0,24.0,1.0,23.0,4.166666666666667,95.83333333333331,,7.428571428571429,3.5,11.391304347826088,6.315217391304348,,,21.0,23.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-01
C4,2022,CM1,Ctrl,Kontagora Sofoua,32.0,32.0,2.0,17.0,6.25,53.125,,9.545454545454543,8.397727272727273,7.375,10.787037037037036,,,22.0,32.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-03
C4,2022,CM1,Ctrl,Maisso,20.0,20.0,0.0,20.0,0.0,100.0,,5.5,3.9625,6.428571428571429,4.214285714285714,,,20.0,14.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-17
C4,2022,CM1,Ctrl,Maza Tsaye 1,26.0,26.0,0.0,26.0,0.0,100.0,,9.94,6.52,8.99,9.16,,,25.0,25.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),
C4,2022,CM1,Ctrl,Maza Tsaye 2,40.0,40.0,0.0,40.0,0.0,100.0,,9.710526315789474,6.434210526315789,8.928571428571429,9.92142857142857,,,38.0,35.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),
C4,2022,CM1,Ctrl,Oumarou Laouali Gago,37.0,37.0,0.0,28.0,0.0,75.67567567567568,,9.824324324324325,11.0,13.808823529411764,13.485294117647058,,,37.0,34.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-09
C4,2022,CM1,Ctrl,Radi Centre 1,29.0,0.0,0.0,0.0,,,,9.955357142857142,7.25,9.321428571428571,10.285714285714286,,,28.0,28.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-26
C4,2022,CM1,Ctrl,Radi Centre 2,23.0,0.0,0.0,0.0,,,,5.166666666666667,2.4444444444444446,0.0,,,,18.0,1.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-28
C4,2022,CM1,Ctrl,Radi Quartier,40.0,0.0,0.0,0.0,,,,7.486842105263157,4.967105263157895,7.298611111111111,6.597222222222222,,,38.0,36.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-31
C4,2022,CM1,Ctrl,Safo Chadaoua,10.0,10.0,0.0,10.0,0.0,100.0,,5.722222222222222,4.972222222222222,9.425,6.75,,,9.0,10.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-24
C4,2022,CM1,Ctrl,Sarkin Aski,12.0,10.0,0.0,10.0,0.0,100.0,,12.65,13.45,11.55,14.775,,,10.0,10.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),
C4,2022,CM1,Ctrl,Soumarana,23.0,23.0,0.0,23.0,0.0,100.0,,10.91304347826087,8.467391304347826,9.478260869565217,9.666666666666666,,,23.0,23.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-23
C4,2022,CM1,Ctrl,Tajaye Djirataoua,26.0,26.0,0.0,21.0,0.0,80.76923076923077,,9.565217391304348,7.391304347826087,10.461538461538462,13.104166666666666,,,23.0,26.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-04
C4,2022,CM1,Ctrl,Yan Zango,28.0,28.0,0.0,25.0,0.0,89.28571428571429,,8.770833333333334,11.052083333333334,11.428571428571429,14.125,,,24.0,28.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-15
C4,2022,CM1,Int,15,1.0,1.0,0.0,1.0,0.0,100.0,,11.0,9.5,14.0,15.0,,,1.0,1.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),
C4,2022,CM1,Int,Atchidakofoto Bilingue,27.0,19.0,0.0,12.0,0.0,63.1578947368421,,7.339285714285714,2.3392857142857144,12.18840579710145,5.590579710144928,,,14.0,26.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-01
C4,2022,CM1,Int,Dan Fillo 3,50.0,47.0,0.0,37.0,0.0,78.72340425531915,,10.112903225806452,8.35483870967742,14.511904761904765,13.74404761904762,,,31.0,42.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-21
C4,2022,CM1,Int,Danja 1,31.0,31.0,0.0,18.0,0.0,58.064516129032256,,10.75925925925926,8.074074074074074,12.916666666666666,15.416666666666666,,,27.0,30.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-06
C4,2022,CM1,Int,Danja 2,31.0,31.0,0.0,20.0,0.0,64.51612903225806,,7.125,6.696428571428571,10.653846153846152,12.528846153846152,,,28.0,26.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-07
C4,2022,CM1,Int,El Kokia,51.0,51.0,0.0,35.0,0.0,68.62745098039215,,6.713414634146342,5.140243902439025,10.666666666666666,9.627777777777778,,,41.0,45.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-08
C4,2022,CM1,Int,Garin Yari Idi,23.0,23.0,0.0,18.0,0.0,78.26086956521739,,8.431818181818182,5.0,11.391304347826088,8.847826086956522,,,22.0,23.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-16
C4,2022,CM1,Int,Kalgon Waraou,16.0,16.0,0.0,16.0,0.0,100.0,,9.266666666666667,6.233333333333333,14.25,11.9375,,,15.0,16.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-20
C4,2022,CM1,Int,Katare 1,39.0,39.0,0.0,29.0,0.0,74.35897435897436,,8.140625,5.2578125,12.208333333333334,10.645833333333334,,,32.0,36.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-12
C4,2022,CM1,Int,Katare 2,23.0,23.0,0.0,19.0,0.0,82.6086956521739,,8.571428571428571,9.904761904761903,12.833333333333334,14.02777777777778,,,21.0,18.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-13
C4,2022,CM1,Int,Koderaoua,47.0,44.0,0.0,39.0,0.0,88.63636363636364,,6.4875,4.46875,11.085365853658535,9.426829268292684,,,40.0,41.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-09
C4,2022,CM1,Int,Maradou Centre,56.0,50.0,0.0,34.0,0.0,68.0,,7.041666666666667,4.173611111111111,9.348484848484848,7.628787878787879,,,36.0,33.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-31
C4,2022,CM1,Int,Maradou Quartier,21.0,21.0,0.0,15.0,0.0,71.42857142857143,,8.81578947368421,5.2368421052631575,13.345238095238097,10.154761904761903,,,19.0,21.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-27
C4,2022,CM1,Int,Namaroua,29.0,28.0,0.0,28.0,0.0,100.0,,7.06,5.14,9.875,13.642857142857142,,,25.0,28.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-02
C4,2022,CM1,Int,Sabon Gari Kolta,29.0,26.0,0.0,15.0,0.0,57.69230769230769,,9.576923076923077,7.509615384615385,13.60344827586207,12.0,,,26.0,29.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-05
C4,2022,CM1,Int,Safo Dan Ali,17.0,17.0,0.0,15.0,0.0,88.23529411764706,,9.941176470588236,6.382352941176471,15.176470588235292,12.617647058823527,,,17.0,17.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-24
C4,2022,CM1,Int,Safo El Mougou,19.0,19.0,0.0,14.0,0.0,73.6842105263158,,5.166666666666667,5.736111111111111,7.083333333333333,6.388888888888889,,,18.0,18.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-25
C4,2022,CM1,Int,Safo Nassaraoua,25.0,25.0,0.0,16.0,0.0,64.0,,3.323529411764706,3.485294117647059,6.239130434782608,6.043478260869565,,,17.0,23.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-28
C4,2022,CM1,Int,Soura 1,42.0,42.0,0.0,32.0,0.0,76.19047619047619,,12.447368421052632,13.421052631578949,14.407407407407408,16.22222222222222,,,19.0,27.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-29
C4,2022,CM1,Int,Soura 2,15.0,15.0,0.0,14.0,0.0,93.33333333333331,,10.0,9.596153846153848,11.8,13.466666666666669,,,13.0,15.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-14
C4,2022,CM1,Int,Soura 3,22.0,19.0,0.0,17.0,0.0,89.47368421052632,,11.657894736842104,12.473684210526317,14.171052631578949,14.223684210526317,,,19.0,19.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-15
C4,2022,CM1,Int,Soura Aboubacar 4,49.0,47.0,0.0,29.0,0.0,61.70212765957447,,11.705128205128204,12.935897435897436,16.87878787878788,14.393939393939394,,,39.0,33.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-22
C4,2022,CM1,Int,Soura Magaji Rogo,18.0,18.0,0.0,18.0,0.0,100.0,,10.083333333333334,11.555555555555555,13.583333333333334,14.541666666666666,,,18.0,18.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-17
C4,2022,CM1,Int,Soura Sarkin Galma 1,42.0,42.0,0.0,41.0,0.0,97.61904761904762,,8.685897435897436,9.217948717948715,13.825,12.51875,,,39.0,40.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-11
C4,2022,CM1,Int,Soura Sarkin Galma 2,41.0,39.0,0.0,30.0,0.0,76.92307692307692,,10.0,7.512820512820513,11.31578947368421,8.605263157894736,,,39.0,38.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-10
C4,2022,CM1,Int,Takalmaoua 1,25.0,25.0,0.0,19.0,0.0,76.0,,9.023809523809524,7.142857142857143,8.5,10.275,,,21.0,20.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-03
C4,2022,CM1,Int,Takalmaoua 2,19.0,17.0,0.0,17.0,0.0,100.0,,9.933333333333334,4.066666666666666,10.55,11.533333333333331,,,15.0,15.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-04
C4,2022,CM1,Int,Tarna,65.0,64.0,0.0,54.0,0.0,84.375,,9.5,8.540178571428571,12.842105263157896,12.109649122807015,,,56.0,57.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-26
C4,2022,CM1,Int,Tchikadji Centre,38.0,37.0,0.0,25.0,0.0,67.56756756756756,,6.069444444444445,4.5,10.671052631578949,10.848684210526317,,,36.0,38.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-30
C4,2022,CM1,Int,Tchikadji Quartier,14.0,14.0,0.0,14.0,0.0,100.0,,5.535714285714286,4.535714285714286,6.461538461538462,8.23076923076923,,,14.0,13.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-23
C4,2022,CM1,Int,Tibiri Nord 3,16.0,16.0,0.0,15.0,0.0,93.75,,10.461538461538462,12.0,16.5,13.34375,,,13.0,16.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-18
C4,2022,CM1,Int,Waraou,51.0,51.0,0.0,40.0,0.0,78.43137254901961,,11.89,13.26,16.38,15.75,,,25.0,50.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-19
C4,2022,CM2,Ctrl,Bassaraoua,51.0,51.0,4.0,26.0,7.84313725490196,50.98039215686274,100.0,11.646341463414634,8.268292682926829,13.511627906976743,13.680232558139537,,5.150253623188406,41.0,43.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-07
C4,2022,CM2,Ctrl,Dallia,48.0,24.0,0.0,11.0,0.0,45.833333333333336,100.0,12.43421052631579,12.0,12.0,11.5,,4.579027777777777,38.0,48.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-05
C4,2022,CM2,Ctrl,Dan Kari,18.0,18.0,5.0,7.0,27.77777777777778,38.888888888888886,100.0,8.088235294117647,9.176470588235292,10.5,9.15625,,4.971794871794872,17.0,16.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-02
C4,2022,CM2,Ctrl,Djirataoua Bilingue,32.0,32.0,1.0,15.0,3.125,46.875,100.0,12.328125,11.3515625,12.53225806451613,13.629032258064516,,4.939677419354839,32.0,31.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-06
C4,2022,CM2,Ctrl,Gade,23.0,23.0,0.0,16.0,0.0,69.56521739130434,100.0,1.805555555555556,2.6944444444444446,5.71875,4.546875,,5.739855072463768,18.0,16.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-25
C4,2022,CM2,Ctrl,Galadantchi,40.0,40.0,20.0,17.0,50.0,42.5,100.0,6.277777777777778,4.013888888888889,7.493589743589744,7.301282051282051,,5.658833333333334,36.0,39.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-08
C4,2022,CM2,Ctrl,Garin Bormo,20.0,20.0,0.0,20.0,0.0,100.0,83.33333333333333,14.4625,14.5625,17.0,19.4125,,8.578,20.0,20.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-16
C4,2022,CM2,Ctrl,Garin Daoure 1,12.0,12.0,0.0,12.0,0.0,100.0,100.0,14.291666666666666,15.125,14.416666666666666,14.916666666666666,,8.478333333333333,12.0,12.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-18
C4,2022,CM2,Ctrl,Garin Daoure 2,11.0,11.0,1.0,10.0,9.090909090909092,90.9090909090909,90.0,14.45,14.125,13.85,13.75,,7.080909090909089,10.0,10.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-20
C4,2022,CM2,Ctrl,Garin Magaji,21.0,21.0,0.0,11.0,0.0,52.38095238095238,70.0,6.25,6.238095238095238,8.45,8.225,,4.984714285714285,21.0,20.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-14
C4,2022,CM2,Ctrl,Garin Malam Hamza,18.0,18.0,0.0,3.0,0.0,16.666666666666668,66.66666666666667,5.691176470588236,4.220588235294118,7.916666666666667,5.986111111111111,,3.285555555555556,17.0,18.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-13
C4,2022,CM2,Ctrl,Guigamaoua Sofoua,20.0,20.0,0.0,8.0,0.0,40.0,50.0,10.7,5.625,11.960526315789474,7.565789473684211,,4.555833333333334,20.0,19.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-10
C4,2022,CM2,Ctrl,Imbelbelou 3,96.0,48.0,1.0,35.0,2.083333333333333,72.91666666666667,100.0,11.345238095238097,14.589285714285714,11.706521739130435,12.923913043478262,,5.87595744680851,84.0,92.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-11
C4,2022,CM2,Ctrl,Kagara,26.0,26.0,0.0,14.0,0.0,53.84615384615385,92.3076923076923,8.73076923076923,6.461538461538462,14.307692307692308,13.913461538461538,,5.4124358974358975,26.0,26.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-30
C4,2022,CM2,Ctrl,Kankaran Safo,26.0,26.0,0.0,18.0,0.0,69.23076923076923,100.0,11.59,11.14,13.423076923076923,12.365384615384617,,6.104076923076923,25.0,26.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-27
C4,2022,CM2,Ctrl,Kara Kara 2,98.0,49.0,5.0,33.0,10.20408163265306,67.34693877551021,87.87878787878788,10.266666666666667,8.233333333333333,13.738636363636363,11.329545454545457,,5.899925925925926,90.0,88.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-22
C4,2022,CM2,Ctrl,Kara Kara 3,37.0,37.0,0.0,33.0,0.0,89.1891891891892,100.0,10.68918918918919,11.783783783783784,13.01388888888889,12.46527777777778,,6.391891891891892,37.0,36.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-12
C4,2022,CM2,Ctrl,Kontagora Goussaoua,24.0,24.0,3.0,7.0,12.5,29.166666666666668,60.0,7.428571428571429,3.5,11.391304347826088,6.315217391304348,,4.1752698412698415,21.0,23.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-01
C4,2022,CM2,Ctrl,Kontagora Sofoua,32.0,32.0,2.0,14.0,6.25,43.75,71.42857142857143,9.545454545454543,8.397727272727273,8.74074074074074,10.787037037037036,,4.328888888888889,22.0,27.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-03
C4,2022,CM2,Ctrl,Maisso,20.0,20.0,0.0,3.0,0.0,15.0,66.66666666666667,5.5,3.9625,6.428571428571429,4.214285714285714,,2.5941666666666663,20.0,14.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-17
C4,2022,CM2,Ctrl,Maza Tsaye 1,26.0,26.0,0.0,20.0,0.0,76.92307692307692,89.47368421052632,9.94,6.52,8.99,9.16,,5.6732051282051295,25.0,25.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),
C4,2022,CM2,Ctrl,Maza Tsaye 2,40.0,40.0,1.0,31.0,2.5,77.5,93.10344827586206,9.710526315789474,6.434210526315789,8.928571428571429,9.92142857142857,,5.932051282051281,38.0,35.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),
C4,2022,CM2,Ctrl,Oumarou Laouali Gago,37.0,37.0,0.0,19.0,0.0,51.35135135135136,100.0,9.824324324324325,11.0,13.808823529411764,13.485294117647058,,4.941081081081081,37.0,34.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-09
C4,2022,CM2,Ctrl,Radi Centre 1,29.0,29.0,0.0,20.0,0.0,68.96551724137932,100.0,9.955357142857142,7.25,9.321428571428571,10.285714285714286,,5.70264367816092,28.0,28.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-26
C4,2022,CM2,Ctrl,Radi Centre 2,46.0,23.0,0.0,18.0,0.0,78.26086956521739,93.75,5.166666666666667,2.4444444444444446,5.0,4.583333333333333,,5.444202898550725,36.0,42.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-28
C4,2022,CM2,Ctrl,Radi Quartier,40.0,40.0,0.0,22.0,0.0,55.0,100.0,7.486842105263157,4.967105263157895,7.298611111111111,6.597222222222222,,5.105583333333334,38.0,36.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-31
C4,2022,CM2,Ctrl,Safo Chadaoua,10.0,10.0,0.0,7.0,0.0,70.0,100.0,5.722222222222222,4.972222222222222,9.425,6.75,,5.574333333333334,9.0,10.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-24
C4,2022,CM2,Ctrl,Sarkin Aski,12.0,12.0,2.0,6.0,16.666666666666668,50.0,100.0,12.65,13.45,11.55,14.775,,5.264666666666667,10.0,10.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),
C4,2022,CM2,Ctrl,Soumarana,23.0,23.0,0.0,13.0,0.0,56.52173913043478,100.0,10.91304347826087,8.467391304347826,10.38095238095238,9.666666666666666,,4.519420289855073,23.0,21.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-23
C4,2022,CM2,Ctrl,Tajaye Djirataoua,26.0,26.0,0.0,22.0,0.0,84.61538461538461,84.21052631578948,9.565217391304348,7.391304347826087,11.333333333333334,13.104166666666666,,5.646538461538461,23.0,24.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-04
C4,2022,CM2,Ctrl,Yan Zango,28.0,28.0,1.0,19.0,3.571428571428572,67.85714285714286,100.0,8.770833333333334,11.052083333333334,11.428571428571429,14.125,,5.439012345679013,24.0,28.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-15
C4,2022,CM2,Int,Atchidakofoto Bilingue,27.0,23.0,0.0,18.0,0.0,78.26086956521739,100.0,7.339285714285714,2.3392857142857144,12.18840579710145,5.590579710144928,,4.471527777777778,14.0,26.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-01
C4,2022,CM2,Int,Dan Fillo 3,50.0,40.0,0.0,28.0,0.0,70.0,100.0,10.112903225806452,8.35483870967742,14.511904761904765,13.74404761904762,,5.968859649122808,31.0,42.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-21
C4,2022,CM2,Int,Danja 1,31.0,31.0,0.0,23.0,0.0,74.19354838709677,100.0,10.75925925925926,8.074074074074074,12.916666666666666,15.416666666666666,,6.201397849462365,27.0,30.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-06
C4,2022,CM2,Int,Danja 2,31.0,30.0,0.0,8.0,0.0,26.666666666666668,100.0,7.125,6.696428571428571,10.653846153846152,12.528846153846152,,3.940333333333333,28.0,26.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-07
C4,2022,CM2,Int,El Kokia,51.0,51.0,0.0,26.0,0.0,50.98039215686274,100.0,6.713414634146342,5.140243902439025,10.666666666666666,9.627777777777778,,4.959869281045752,41.0,45.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-08
C4,2022,CM2,Int,Garin Yari Idi,23.0,23.0,0.0,11.0,0.0,47.82608695652174,100.0,8.431818181818182,5.0,11.391304347826088,8.847826086956522,,4.905797101449275,22.0,23.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-16
C4,2022,CM2,Int,Kalgon Waraou,16.0,16.0,0.0,14.0,0.0,87.5,100.0,9.266666666666667,6.233333333333333,14.25,11.9375,,6.18375,15.0,16.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-20
C4,2022,CM2,Int,Katare 1,38.0,36.0,0.0,18.0,0.0,50.0,100.0,8.140625,5.2578125,12.208333333333334,10.645833333333334,,4.90111111111111,32.0,36.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-12
C4,2022,CM2,Int,Katare 2,23.0,23.0,0.0,14.0,0.0,60.869565217391305,100.0,8.571428571428571,9.904761904761903,12.833333333333334,14.02777777777778,,4.797971014492754,21.0,18.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-13
C4,2022,CM2,Int,Koderaoua,47.0,46.0,0.0,21.0,0.0,45.65217391304348,100.0,6.4875,4.46875,11.085365853658535,9.426829268292684,,4.928550724637682,40.0,41.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-09
C4,2022,CM2,Int,Maradou Centre,56.0,48.0,0.0,22.0,0.0,45.833333333333336,100.0,7.041666666666667,4.173611111111111,9.348484848484848,7.628787878787879,,4.616458333333333,36.0,33.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-31
C4,2022,CM2,Int,Maradou Quartier,21.0,21.0,0.0,19.0,0.0,90.47619047619048,100.0,8.81578947368421,5.2368421052631575,13.345238095238097,10.154761904761903,,6.7876190476190486,19.0,21.0,INSCRIPTION=ORIENTATION_ONLY(Passe en 6e),C4-27
